"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"AKR1CL1",4.94e-07,0,3.82e-06,1.72e-06,0,0,0,0,0.901463519710806,0.088709241334559,0.782804184465943
"PTPN13",1.18e-05,1.78e-05,6.23e-05,2.42e-05,1,0,1,0,0.90144545307704,0.0887168117666144,0.782889190918312
"PYY",4.31e-07,3.25e-07,5.6e-06,3.25e-06,0,0,0,0,0.901371784067163,0.0888238793056832,0.782974110831862
"C17orf100",4.47e-07,2.48e-07,7.68e-06,3.68e-06,0,0,0,0,0.901185014952136,0.0888779538203645,0.783058947709345
"NCMAP",4.59e-07,1.91e-07,3.45e-06,1.69e-06,0,0,0,0,0.901019704953486,0.0889320283350457,0.783143701042182
"ANAPC16",4.84e-07,6.62e-08,3.14e-06,1.33e-06,0,0,0,0,0.900905109179915,0.0889850213594333,0.783228369452684
"IFITM10",4.97e-07,0,6.15e-06,3.54e-06,0,0,0,0,0.900897438282493,0.0890390958741145,0.783312949894961
"TSACC",4.79e-07,9.23e-08,2.91e-06,1.26e-06,0,0,0,0,0.900885206011334,0.0890931703887958,0.78339744264192
"SPINK7",4.09e-07,4.53e-07,2e-06,9.32e-07,0,0,0,0,0.900821896504892,0.0891467041583302,0.78348184934727
"NDUFC2-KCTD14",3.35e-07,8.35e-07,5.88e-06,2.15e-06,0,0,0,0,0.900814358216822,0.0892002379278646,0.783566168489881
"ACBD7",4.69e-07,1.48e-07,2.35e-06,1.29e-06,0,0,0,0,0.900717595437973,0.0892564754231331,0.783650402853235
"CALML5",3.57e-07,7.27e-07,6.93e-06,4.73e-06,0,0,0,0,0.900603953374709,0.0893105499378143,0.78373455306998
"MTPN",4.32e-07,3.42e-07,2.87e-06,1.33e-06,0,0,0,0,0.900557795958644,0.0893640837073487,0.783818617271244
"C1orf200",4.89e-07,5.17e-08,5.72e-06,2.21e-06,0,0,0,0,0.900497207034149,0.0894170767317363,0.783902596018419
"SUSD3",4.92e-07,3.88e-08,3.64e-06,1.81e-06,0,0,0,0,0.900407621482578,0.0894770994430325,0.783986490302956
"WFDC9",4.49e-07,2.59e-07,2.37e-06,8.61e-07,0,0,0,0,0.900402662494931,0.0895295517222733,0.784070297752081
"C2orf82",3.31e-07,8.67e-07,6.58e-06,4.49e-06,0,0,0,0,0.900402199253607,0.0895830854918077,0.784154018367809
"EMC6",3.11e-07,9.73e-07,5.09e-06,3.29e-06,0,0,0,0,0.900316482708407,0.0896360785161953,0.784237654805137
"C10orf128",4.37e-07,3.24e-07,3.22e-06,1.88e-06,0,0,0,0,0.900276036193725,0.0896896122857297,0.784321205857293
"BET1",4.67e-07,1.71e-07,3.17e-06,1.21e-06,0,0,0,0,0.900247336614552,0.089743686800411,0.784404671309914
"TCEAL1",4.6e-07,2.09e-07,5.32e-06,2.18e-06,0,0,0,0,0.90016810974336,0.0897977613150922,0.784488052787088
"KLF2",4.99e-07,1e-08,9.52e-06,6.43e-06,0,0,0,0,0.900151050248433,0.0898512950846266,0.784571348585106
"C10orf55",4.99e-07,1.18e-08,4.39e-06,2e-06,0,0,0,0,0.900084614250313,0.0899053695993079,0.784654560292583
"PTGDR2",3.6e-07,7.28e-07,1.44e-05,7.17e-06,0,0,0,0,0.900000975880067,0.0899589033688423,0.784737688546722
"SMIM9",5.02e-07,0,2.4e-06,9.29e-07,0,0,0,0,0.899954802812281,0.0900129778835235,0.7848207323732
"H1F0",3.53e-07,7.66e-07,6.66e-06,3.42e-06,0,0,0,0,0.899934297298961,0.0900665116530579,0.784903691147006
"DNAJC25-GNG10",4.2e-07,4.21e-07,3.05e-06,1.45e-06,0,0,0,0,0.899920540202601,0.0901200454225923,0.784986564801099
"TMPRSS11BNL",4.7e-07,1.65e-07,2.22e-06,8.45e-07,0,0,0,0,0.899902726204447,0.0901741199372736,0.785069353586349
"SPINT4",4.31e-07,3.66e-07,2.54e-06,9.86e-07,0,0,0,0,0.899864784693682,0.0902281944519548,0.785152058225499
"SPRR1A",4.28e-07,3.83e-07,2.01e-06,8.39e-07,0,0,1,0,0.899806398288409,0.0902817282214892,0.785234679449135
"GAGE2B",5.03e-07,0,2.41e-06,9.17e-07,0,0,0,0,0.89976640066759,0.0903352619910236,0.785317216846019
"EFHD2",3.07e-07,1.01e-06,3.81e-06,1.81e-06,0,0,1,0,0.899725088426424,0.0903893365057049,0.785399670584034
"EFNA2",4.56e-07,2.45e-07,3.21e-06,1.76e-06,0,0,1,0,0.899597784940644,0.0904434110203861,0.785482043314691
"ATP6V0E1",4.53e-07,2.63e-07,2.54e-06,1.2e-06,0,0,0,0,0.899501436592359,0.0904969447899205,0.785564334255252
"S100A3",4.69e-07,1.87e-07,3.27e-06,1.58e-06,0,0,0,0,0.89928150584966,0.0905585897366571,0.785646547153377
"KRTAP19-1",4.99e-07,3.47e-08,2.99e-06,1.75e-06,0,0,1,0,0.899239975387398,0.0906126642513383,0.785728676903784
"C20orf197",5.06e-07,0,3.31e-06,1.42e-06,0,0,0,0,0.899201443957953,0.0906661980208728,0.785810723546597
"TCEAL8",4.19e-07,4.48e-07,3.56e-06,1.27e-06,0,0,0,0,0.899119086027185,0.0907197317904072,0.785892688492037
"PRAMEF16",4.43e-07,3.3e-07,4.42e-06,1.94e-06,0,0,0,0,0.898924785595014,0.0907732655599416,0.785974575139658
"FOXE1",4.46e-07,3.16e-07,1.36e-05,9.79e-06,0,0,0,0,0.898873568035857,0.0908273400746228,0.786056379427188
"C19orf52",4.14e-07,4.84e-07,7.82e-06,4.91e-06,0,0,0,0,0.898742555174038,0.0908808738441572,0.786138103812518
"NUDT19",3.92e-07,6e-07,3.99e-06,1.61e-06,0,0,0,0,0.898643930155256,0.0909344076136917,0.78621974747249
"CISD2",4.58e-07,2.61e-07,4.64e-06,1.88e-06,0,0,0,0,0.898633214396802,0.0909884821283729,0.786301307965011
"CLIC1",4.18e-07,4.67e-07,3.33e-06,1.64e-06,0,0,0,0,0.89861155174849,0.0910414751527605,0.786382785736933
"TMEM186",5.08e-07,8.36e-09,1.8e-06,6.63e-07,0,0,0,0,0.89851692269322,0.0910950089222949,0.786464183042613
"CTC-273B12.7",3.42e-07,8.62e-07,3.88e-06,1.35e-06,0,0,0,0,0.898508924209331,0.0911474612015357,0.786545497480528
"RETNLB",4.1e-07,5.11e-07,3.1e-06,1.65e-06,0,0,0,0,0.898507811934878,0.0912009949710701,0.786626728976926
"RPL39",5.09e-07,4.17e-09,1.43e-06,3.95e-07,0,0,0,0,0.898483198867199,0.0912550694857514,0.786707878342905
"PRR3",4.72e-07,1.94e-07,1.3e-06,5.11e-07,0,0,0,0,0.8984593585341,0.0913086032552858,0.786788945681563
"AC009365.3",5.1e-07,0,4.33e-06,1.84e-06,0,0,0,0,0.8984487506743,0.091362677769967,0.786869930733397
"KRTAP2-3",4.75e-07,1.84e-07,5.83e-06,2.67e-06,0,0,0,0,0.898262350739536,0.0914183745200887,0.786950838734448
"CGB",5.11e-07,0,5.1e-06,2.27e-06,0,0,0,0,0.898260681276285,0.0914719082896231,0.787031664434898
"HBE1",4.25e-07,4.41e-07,3.72e-06,1.88e-06,0,0,0,0,0.898245480809166,0.0915254420591575,0.787112408353287
"CT83",5.1e-07,5.94e-09,3.32e-06,1.27e-06,0,0,0,0,0.89822992063403,0.0915822202995728,0.787193070624789
"MLN",4.91e-07,1.04e-07,3.46e-06,1.55e-06,0,0,0,0,0.898193703088792,0.091636294814254,0.787273651973174
"OCM2",4.21e-07,4.64e-07,3.36e-06,1.78e-06,0,0,0,0,0.898156538318415,0.091696858270697,0.787354152549211
"HIGD2A",4.31e-07,4.13e-07,4.89e-06,2.28e-06,0,0,1,0,0.898141411945177,0.0917509327853783,0.787434571837176
"PCP4",5.08e-07,2.11e-08,1.69e-06,5.87e-07,0,0,0,0,0.89804768764781,0.0918044665549127,0.787514912237629
"C20orf166",4.97e-07,7.84e-08,5.08e-06,2.54e-06,0,0,0,0,0.898007075068171,0.0918574595793003,0.787595172332827
"CLPS",3.59e-07,7.89e-07,4e-06,1.77e-06,0,0,0,0,0.897964377186328,0.0919104526036879,0.787675352305228
"HTN3",5.08e-07,2.45e-08,1.15e-06,3.99e-07,0,0,0,0,0.897922515735813,0.0919666900989564,0.787755452252413
"CDC26",4.75e-07,1.99e-07,2.98e-06,7.08e-07,0,0,0,0,0.897711429621962,0.0920267128102525,0.787835477188306
"EIF1",5.05e-07,5.03e-08,3.52e-06,1.91e-06,0,0,0,0,0.897536988896593,0.0920802465797869,0.787915426168012
"HIST1H3C",5.15e-07,0,8.02e-06,3.14e-06,0,0,0,0,0.897508819085994,0.0921337803493214,0.787995295082234
"WBP5",4.91e-07,1.24e-07,2.42e-06,7.15e-07,0,0,0,0,0.897458472313365,0.0921873141188558,0.788075084692606
"CMC1",4.3e-07,4.38e-07,2.61e-06,1.07e-06,0,0,0,0,0.89741455898085,0.092241388633537,0.78815479493373
"CRIPT",4.93e-07,1.16e-07,2.24e-06,9.28e-07,0,0,0,0,0.89737657891558,0.0922954631482183,0.78823442575476
"MYL12B",4.67e-07,2.52e-07,4.81e-06,1.77e-06,0,0,0,0,0.897270644016774,0.0923495376628995,0.788313979234744
"HBG1",4.29e-07,4.5e-07,3.31e-06,1.51e-06,0,0,0,0,0.897163746471098,0.0924030714324339,0.78839345551852
"C20orf141",5.02e-07,7.73e-08,4.81e-06,2.2e-06,0,0,0,0,0.897107888861267,0.0924571459471151,0.788472853253154
"RPL30",5.06e-07,5.72e-08,3.3e-06,1.74e-06,0,0,0,0,0.8970954004454,0.0925112204617964,0.788552171309188
"TRIM39-RPP21",4.74e-07,2.21e-07,2.71e-06,1.08e-06,0,0,0,0,0.897092096864894,0.0925652949764776,0.788631409542819
"KCNE1L",4.63e-07,2.79e-07,5.37e-06,2.93e-06,0,0,0,0,0.897032605197427,0.0926199102363056,0.788710569690195
"OR2S2",4.48e-07,3.59e-07,8.65e-06,3.9e-06,0,0,0,0,0.896921430040756,0.09267344400584,0.788789653354545
"RNASE1",3.91e-07,6.55e-07,5.17e-06,1.9e-06,0,0,0,0,0.896824972322893,0.0927264370302276,0.788868660228573
"RPRM",4.24e-07,4.85e-07,5.98e-06,3.61e-06,0,0,0,0,0.896824490896382,0.0927788893094685,0.788947587672609
"CXCL6",3.8e-07,7.12e-07,5.18e-06,3.02e-06,0,0,0,0,0.89681680416854,0.0928329638241497,0.789026436013157
"SPINK8",4.73e-07,2.38e-07,2.17e-06,8.85e-07,0,0,0,0,0.896656666260245,0.0928859568485373,0.789105209741984
"PSMB8",4.36e-07,4.32e-07,3.66e-06,1.44e-06,0,0,0,0,0.896506244955212,0.0929400313632185,0.789183908692989
"COX14",4.75e-07,2.32e-07,1.71e-06,5.7e-07,0,0,0,0,0.896501000372205,0.0929941058778997,0.789262528818907
"CDKN2AIPNL",4.61e-07,3.04e-07,4.87e-06,2.47e-06,0,0,0,0,0.896492626406058,0.093048180392581,0.789341070327954
"CEND1",4.39e-07,4.17e-07,4.9e-06,2.91e-06,0,0,0,0,0.896490936245203,0.0931022549072622,0.789419533147028
"SNTN",4.81e-07,2.02e-07,3.39e-06,1.31e-06,0,0,0,0,0.896474112795577,0.0931557886767966,0.789497917827374
"MYCBP",5.06e-07,7.45e-08,3.31e-06,1.41e-06,0,0,0,0,0.896459738054311,0.0932087817011842,0.789576224416355
"FAU",5.04e-07,8.64e-08,5.36e-06,2.24e-06,0,0,0,0,0.89639810670393,0.0932677229221868,0.789654454381931
"C5orf66",5.21e-07,0,2.45e-06,1.3e-06,0,0,0,0,0.896382270944059,0.0933212566917212,0.789732606530807
"COX6A2",3.7e-07,7.78e-07,4.8e-06,2.1e-06,0,0,0,0,0.896295214988614,0.0933747904612556,0.789810683013337
"SUMO4",5.16e-07,2.79e-08,2.5e-06,1.04e-06,0,0,0,0,0.896295030064235,0.0934288649759368,0.789888681463681
"CDK2AP1",4.95e-07,1.36e-07,5e-06,3.01e-06,0,0,0,0,0.896266725903052,0.0934823987454713,0.789966602800893
"ZNF576",4.83e-07,2e-07,6.61e-06,2.49e-06,0,0,1,0,0.896172010742283,0.0935364732601525,0.790044449033968
"HTN1",5.21e-07,6.1e-09,1.36e-06,5.36e-07,0,0,0,0,0.896158064358105,0.0935900070296869,0.790122217973631
"TMEM37",3.97e-07,6.44e-07,6.06e-06,3.17e-06,0,0,0,0,0.896098148446644,0.0936440815443681,0.790199911044914
"LCE3B",5.08e-07,7.74e-08,2.44e-06,9.84e-07,0,0,0,0,0.895978003690353,0.0936970745687557,0.790277530075995
"CARD18",4.6e-07,3.26e-07,2.16e-06,7.12e-07,0,0,0,0,0.895875353032505,0.0937506083382902,0.790355074679782
"HBM",4.57e-07,3.42e-07,7.3e-06,4.8e-06,0,0,0,0,0.895853249273017,0.0938046828529714,0.790432542676582
"CCL19",3.91e-07,6.82e-07,3.19e-06,1.17e-06,0,0,0,0,0.895841742998724,0.0938587573676526,0.790509933879528
"FABP3",4.55e-07,3.53e-07,3.82e-06,1.81e-06,0,0,0,0,0.895826411978096,0.0939128318823339,0.790587248511915
"PTCH1",5.79e-06,9.77e-06,5.87e-05,2.99e-05,0,1,0,1,0.895779701279383,0.0939171578435083,0.790664487579145
"SCRG1",3.32e-07,9.93e-07,2.63e-06,1.13e-06,0,0,0,0,0.895633578578125,0.0940231438922836,0.79074165401581
"HIST1H3F",5.25e-07,0,7.52e-06,2.93e-06,0,0,0,0,0.895632068045027,0.094076677661818,0.790818743827238
"CXCL3",3.75e-07,7.72e-07,4.46e-06,2.34e-06,0,0,0,0,0.895573969944958,0.0941367003731142,0.790895758732285
"TMEM167A",5.05e-07,1.06e-07,1.85e-06,6e-07,0,0,0,0,0.895491332424303,0.0941907748877954,0.790972699538041
"INIP",5.08e-07,9.15e-08,2.91e-06,1.21e-06,0,0,1,0,0.895460667238942,0.0942443086573298,0.79104956488239
"CSN3",5.22e-07,2.1e-08,5.37e-06,1.85e-06,0,0,0,0,0.895423277457767,0.0942978424268642,0.791126355067991
"RPL36AL",5.25e-07,6.73e-09,2.87e-06,9.81e-07,0,0,0,0,0.895384917008634,0.0943513761963986,0.791203070234053
"RPGRIP1L",7.24e-06,3.83e-06,3.46e-05,1.25e-05,0,1,0,0,0.895356761160972,0.0943535391769859,0.791279710203377
"COX6C",5.13e-07,6.99e-08,2.83e-06,1.03e-06,0,0,0,0,0.89531568968936,0.0944119396528416,0.791356275452831
"MEIG1",4.92e-07,1.78e-07,2.58e-06,1.08e-06,0,0,0,0,0.895289895247003,0.0944660141675228,0.791432765661591
"KCNE4",3.91e-07,7e-07,6.81e-06,4.22e-06,0,0,0,0,0.895187061949057,0.0945736224517385,0.79150918311713
"KRTAP4-2",4.56e-07,3.66e-07,4.23e-06,1.29e-06,0,0,0,0,0.895163803873663,0.0946271562212729,0.791585525680677
"DEFB129",4.89e-07,1.97e-07,4.33e-06,1.66e-06,0,0,0,0,0.895156542358851,0.0946806899908073,0.791661793011825
"LCE3E",5.11e-07,8.45e-08,2.93e-06,1.25e-06,0,0,0,0,0.895155068983025,0.0947347645054886,0.791737985058772
"BOK",3.65e-07,8.4e-07,8.06e-06,4.1e-06,0,0,0,0,0.894982672871631,0.094788298275023,0.791814106751643
"SIGLEC15",4.79e-07,2.58e-07,6.51e-06,3.85e-06,0,0,0,0,0.894798967555543,0.0948450765154383,0.791890158513348
"CDRT4",4.9e-07,2.05e-07,4.88e-06,2.03e-06,0,0,0,0,0.894676366253303,0.0948980695398259,0.791966138726417
"CCL7",4.83e-07,2.41e-07,2.79e-06,1.02e-06,0,0,0,0,0.894671073798383,0.0949521440545071,0.792042044194231
"HBG2",4.35e-07,4.89e-07,3.33e-06,1.51e-06,0,0,0,0,0.894613922531129,0.0950051370788947,0.792117876486447
"COX20",4.54e-07,3.92e-07,3.14e-06,1.6e-06,0,0,0,0,0.894589608519597,0.0950635375547504,0.792193634787643
"MYL9",4.74e-07,2.91e-07,6.93e-06,3.12e-06,0,0,0,0,0.894529686993209,0.0951176120694317,0.792269320208003
"AC103809.2",5.32e-07,0,8.64e-06,4.06e-06,0,0,0,0,0.894320807071988,0.0951711458389661,0.792344937040399
"PEA15",4.07e-07,6.42e-07,4.09e-06,1.54e-06,0,0,0,0,0.894294469954238,0.0952235981182069,0.792420480259603
"HLA-DOB",3.8e-07,7.83e-07,3.6e-06,1.54e-06,0,0,0,0,0.894236459028893,0.0952760503974477,0.792495950863224
"C9orf170",5.28e-07,2.56e-08,4.05e-06,2.01e-06,0,0,0,0,0.894130800239629,0.0953295841669821,0.79257135029511
"UQCR10",3.08e-07,1.16e-06,3.55e-06,2.26e-06,0,0,0,0,0.894102706490631,0.0953836586816633,0.792646676484947
"NDUFC2",3.62e-07,8.8e-07,5.87e-06,2.18e-06,0,0,0,0,0.894095614744496,0.0954366517060509,0.792721928951883
"CDV3",4.8e-07,2.74e-07,6.5e-06,3.85e-06,0,0,0,0,0.894026958112757,0.0954907262207322,0.792797109529168
"AC003002.4",4.51e-07,4.23e-07,2.56e-06,1.08e-06,0,0,0,0,0.894021184236922,0.0955448007354134,0.792872216561684
"CCL15",4.5e-07,4.31e-07,3.1e-06,1.38e-06,0,0,0,0,0.893916921830141,0.0956015789758287,0.79294725291408
"TMEM14C",4.86e-07,2.48e-07,3.04e-06,1.57e-06,0,0,0,0,0.893853426898051,0.0956556534905099,0.793022217549753
"HIST1H3E",5.35e-07,0,8e-06,3.22e-06,0,0,0,0,0.893759458488196,0.0957091872600443,0.793097111426118
"NDUFA3",4.88e-07,2.41e-07,4.38e-06,2.41e-06,0,0,0,0,0.893734801101187,0.0957627210295788,0.793171932709932
"PRR18",3.53e-07,9.38e-07,1.22e-05,7.49e-06,0,0,0,0,0.893683533438403,0.0958162547991132,0.79324668225104
"SLC2A4RG",4.51e-07,4.33e-07,6.1e-06,2.92e-06,0,0,0,0,0.893656812278803,0.0958697885686476,0.793321359469277
"OR4F15",4.84e-07,2.65e-07,7.72e-06,2.74e-06,0,0,0,0,0.89360689004993,0.095923322338182,0.793395965118126
"AC040977.1",5.36e-07,0,6e-06,2.9e-06,0,0,0,0,0.893572424943737,0.0959773968528632,0.79347049887127
"CXCL2",3.98e-07,7.1e-07,4.54e-06,2.27e-06,0,0,0,0,0.893511512448554,0.0960314713675445,0.793544961571349
"OR5B2",4.87e-07,2.56e-07,7.38e-06,3.05e-06,0,0,0,0,0.893374152703951,0.0960974422754556,0.79361935545275
"ATP6V1G1",5.16e-07,1.08e-07,4.13e-06,1.4e-06,0,0,0,0,0.893358368115895,0.09615097604499,0.793693677229806
"KRTAP9-3",5.34e-07,1.62e-08,3.7e-06,1.33e-06,0,0,2,0,0.893352882586904,0.0962050505596712,0.793767926721203
"TXN",4.87e-07,2.57e-07,2.59e-06,1.24e-06,0,0,0,0,0.893337647401781,0.0962585843292056,0.793842104303873
"KRTAP4-3",5.24e-07,6.9e-08,5.94e-06,1.91e-06,0,0,0,0,0.89328942601138,0.0963126588438869,0.793916211000311
"PPP1R9A",6.53e-06,6.73e-06,3.41e-05,1.38e-05,0,1,1,0,0.893037040734236,0.0963169848050614,0.793990252589887
"MAP1LC3C",4.97e-07,2.15e-07,4.91e-06,2.23e-06,0,0,0,0,0.893000751633356,0.0963791704969448,0.794064223162953
"C4orf46",4.81e-07,3.01e-07,3.96e-06,2.31e-06,0,0,0,0,0.892854544896324,0.0964370302276537,0.794138125875978
"C20orf144",4.35e-07,5.38e-07,7.84e-06,3.7e-06,0,0,0,0,0.892830872971312,0.0964911047423349,0.794211957426226
"GLRX5",4.53e-07,4.49e-07,2.21e-06,1.33e-06,0,0,0,0,0.892700128725575,0.0965446385118694,0.794285720888416
"NDUFB1",4.54e-07,4.46e-07,4.26e-06,1.79e-06,0,0,0,0,0.892622265249024,0.0965987130265506,0.794359414895116
"SMIM19",5.18e-07,1.18e-07,2.96e-06,1.31e-06,0,0,0,0,0.892618864490111,0.096652246796085,0.794433037483226
"SNRPF",5.09e-07,1.65e-07,2.3e-06,8.75e-07,0,0,0,0,0.892583516795074,0.0967052398204726,0.79450658964184
"TNFAIP8L2",3.4e-07,1.04e-06,6.95e-06,2.82e-06,0,0,0,0,0.892434356222397,0.0967620180608879,0.794580074625423
"CXCL5",4.24e-07,6.07e-07,4.4e-06,2.37e-06,0,0,0,0,0.89238271538603,0.0968160925755691,0.794653489832139
"ARPP19",4.59e-07,4.32e-07,3.44e-06,1.64e-06,0,0,0,0,0.892196781948845,0.0968701670902504,0.794726839079097
"LCE3D",5.33e-07,5.58e-08,2.94e-06,1.21e-06,0,0,0,0,0.892090652749822,0.0969242416049316,0.794800120255108
"KRTAP5-8",5.44e-07,0,4.48e-06,1.9e-06,0,0,0,0,0.892077642908267,0.096977775374466,0.794873330884916
"RNASE8",4.52e-07,4.74e-07,3.83e-06,1.7e-06,0,0,0,0,0.891978090581635,0.0970313091440004,0.794946473461993
"EIF1B",4.95e-07,2.6e-07,3e-06,1.41e-06,0,0,0,0,0.89173308823461,0.0970848429135348,0.795019552101932
"SGPP2",4.48e-07,5.02e-07,5.56e-06,2.63e-06,0,0,0,0,0.891708333126867,0.0971383766830693,0.795092560817827
"SMTNL2",2.27e-07,1.65e-06,3.07e-06,1.39e-06,0,0,1,0,0.89169301919131,0.0971908289623101,0.795165499450481
"BIK",5.24e-07,1.13e-07,5.35e-06,3.13e-06,0,0,0,0,0.891681020287783,0.0972449034769913,0.795238368009947
"DSTN",5.2e-07,1.36e-07,4.13e-06,1.21e-06,0,0,0,0,0.891588010182164,0.0972989779916725,0.795311168830648
"HIST1H4C",5.47e-07,0,5.97e-06,2.17e-06,0,0,1,0,0.891517780242044,0.0973530525063538,0.795383901382969
"PRAMEF11",4.11e-07,6.99e-07,4.49e-06,2.17e-06,0,0,0,0,0.8914782259435,0.097407127021035,0.795456564920875
"UFSP1",4.89e-07,2.98e-07,5.27e-06,2.53e-06,0,0,0,0,0.891469222860223,0.0974612015357162,0.795529158703183
"NDUFB3",4.26e-07,6.22e-07,2.25e-06,7.99e-07,0,0,0,0,0.891464935744897,0.0975141945601038,0.795601682700901
"KREMEN1",4.8e-07,3.46e-07,3.08e-06,1.2e-06,0,0,0,0,0.891402437761915,0.0975677283296382,0.795674138615495
"HIST1H1A",3.54e-07,9.96e-07,7.5e-06,4.35e-06,0,0,0,0,0.891401913768943,0.0976207213540258,0.795746524841831
"TXNDC8",4.98e-07,2.55e-07,3.11e-06,1.32e-06,0,0,0,0,0.89135522018732,0.0976747958687071,0.795818842748806
"HBQ1",4.2e-07,6.56e-07,4.65e-06,3.33e-06,0,0,0,0,0.89135391830632,0.0977288703833883,0.795891091188496
"LGALS2",4.22e-07,6.46e-07,4.02e-06,2.04e-06,0,0,0,0,0.891342547558397,0.0977829448980695,0.795963270537348
"PHLDA2",4.13e-07,6.93e-07,9.21e-06,4.92e-06,0,0,0,0,0.891321781148533,0.097836478667604,0.796035381152619
"FAM136A",5.19e-07,1.52e-07,5.25e-06,2.06e-06,0,0,1,0,0.891190880408432,0.0978894716919916,0.796107426153141
"GLIPR2",3.87e-07,8.31e-07,3.94e-06,2.21e-06,0,0,0,0,0.891188782443418,0.097943005461526,0.796179402103248
"RIIAD1",4.89e-07,3.06e-07,2.7e-06,1.37e-06,0,0,0,0,0.891178030989668,0.0979970799762072,0.796251309339298
"USP17L2",5.08e-07,2.09e-07,5.45e-06,2.28e-06,0,0,0,0,0.891165097583928,0.0980511544908884,0.79632314801981
"BLOC1S3",4.3e-07,6.11e-07,1.38e-05,7.89e-06,0,0,0,0,0.891116469879277,0.0981052290055697,0.796394919220161
"CDKN2D",2.99e-07,1.29e-06,7.29e-06,3.76e-06,0,0,0,0,0.891110684444505,0.0981582220299573,0.796466621865319
"EIF4EBP2",4.64e-07,4.38e-07,4.5e-06,2.26e-06,0,0,0,0,0.891044893526292,0.0982117557994917,0.796538257694352
"C11orf45",5.49e-07,4.4e-09,4.76e-06,2.29e-06,0,0,0,0,0.890983959126838,0.0982652895690261,0.796609826670411
"C3orf65",5.42e-07,4.1e-08,3.38e-06,1.38e-06,0,0,0,0,0.890952178520979,0.0983707348726545,0.796681328093009
"RIPPLY3",4.87e-07,3.24e-07,2.55e-06,1.3e-06,0,0,0,0,0.890896351807469,0.0984237278970421,0.796752762715512
"POLR2K",5.45e-07,2.9e-08,2.04e-06,8.09e-07,0,0,0,0,0.890831089859755,0.0984767209214297,0.796824130891124
"CTXN3",3.94e-07,8.05e-07,2.31e-06,9.13e-07,0,0,0,0,0.890820464437108,0.0985297139458173,0.796895431224661
"SPANXC",4.77e-07,3.81e-07,3.32e-06,1.74e-06,0,0,0,0,0.890689795286612,0.0985837884604986,0.796966667086177
"C1orf210",4.96e-07,2.86e-07,3.64e-06,1.52e-06,0,0,0,0,0.890599899064993,0.098637322230033,0.79703783745681
"MS4A6E",5.07e-07,2.3e-07,3.59e-06,1.61e-06,0,0,0,0,0.890586727013915,0.0986913967447142,0.797108940340318
"AC024592.12",3.78e-07,8.95e-07,6.72e-06,3.62e-06,0,0,0,0,0.890559682388336,0.0987443897691018,0.797179976210857
"RP11-1012A1.4",4.78e-07,3.81e-07,2.62e-06,1.09e-06,0,0,0,0,0.890503278624272,0.0987979235386362,0.797250945963128
"C9orf169",4.66e-07,4.43e-07,4.92e-06,2.31e-06,0,0,0,0,0.890490206330905,0.0988514573081707,0.797321848512903
"KRTAP9-8",5.36e-07,8.44e-08,4.13e-06,1.56e-06,0,0,0,0,0.890486669260873,0.0989049910777051,0.797392683696854
"VAMP5",4.49e-07,5.38e-07,4.56e-06,1.7e-06,0,0,0,0,0.890215846411557,0.0989585248472395,0.797463458874633
"RPS12",5.49e-07,2.93e-08,3.99e-06,1.5e-06,0,0,0,0,0.890074793980344,0.0990125993619207,0.797534170607032
"NDUFA4",5.18e-07,1.89e-07,2.47e-06,9.43e-07,0,0,0,0,0.890029138081109,0.0990704590926296,0.797604816394462
"KRTAP5-4",5.41e-07,7.27e-08,5.37e-06,2.49e-06,0,0,0,0,0.889981810889701,0.0991245336073109,0.797675396376224
"SERP1",4.22e-07,6.84e-07,3.4e-06,1.68e-06,0,0,0,0,0.8899674425875,0.0991786081219921,0.797745909752013
"C19orf77",5.25e-07,1.56e-07,3.88e-06,2.02e-06,0,0,0,0,0.889926632059673,0.0992326826366733,0.797816357333525
"GOLT1B",4.52e-07,5.31e-07,3.34e-06,1.49e-06,0,0,0,0,0.889910060110704,0.0992845941707673,0.797886738557505
"PRAMEF17",4.85e-07,3.64e-07,4.86e-06,2.13e-06,0,0,0,0,0.889815726426477,0.0993375871951549,0.797957055624609
"PCBD1",4.19e-07,7.09e-07,3.15e-06,1.41e-06,0,0,0,0,0.889623456585147,0.0993905802195425,0.798027311277609
"FAM101B",3.87e-07,8.75e-07,6.29e-06,3.66e-06,0,0,0,0,0.889601202767005,0.0994441139890769,0.798097501002864
"SMIM14",4.47e-07,5.69e-07,2.46e-06,9.7e-07,0,0,0,0,0.889466167622438,0.0994971070134646,0.798167627944637
"CCL28",4.27e-07,6.75e-07,3.85e-06,1.71e-06,0,0,0,0,0.889360516660908,0.099550640782999,0.79823769139762
"LCE2A",5.44e-07,7.52e-08,3.24e-06,1.23e-06,0,0,0,0,0.889332153758041,0.0996047152976802,0.798307689363235
"LYRM7",4.85e-07,3.78e-07,2.29e-06,8.5e-07,0,0,0,0,0.889307640501131,0.0996582490672146,0.798377621830345
"BTF3L4",5.4e-07,9.65e-08,3.86e-06,1.28e-06,0,0,0,0,0.889300684085142,0.099711782836749,0.798447488417754
"PAGE3",5.5e-07,4.59e-08,2.9e-06,1.14e-06,0,0,0,0,0.889283270594391,0.0997653166062835,0.798517289500972
