"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"EIF4A1",3.04e-06,1.42e-06,1.42e-05,5.63e-06,0,0,1,1,0.503200763306174,0.712224625533986,0.932371084532337
"AATF",3.05e-06,1.37e-06,1.58e-05,7.34e-06,0,0,0,0,0.503189337931691,0.712277618558373,0.932373817516909
"FAM161B",2.85e-06,2.39e-06,2.1e-05,7.79e-06,0,0,1,0,0.503173505747139,0.712330070837614,0.932376550163358
"CCDC138",2.86e-06,2.34e-06,1.64e-05,7.12e-06,0,0,0,0,0.503146356682228,0.712429567944628,0.932379282522512
"DPH1",2.95e-06,1.88e-06,1.91e-05,8.86e-06,0,0,0,0,0.503139367702297,0.712480938733575,0.932382014504032
"MEIS3",2.55e-06,3.96e-06,1.84e-05,9.24e-06,0,0,1,0,0.502991419324931,0.712530146541935,0.932384746740067
"BACH1",2.93e-06,1.99e-06,1.97e-05,8.13e-06,0,0,0,0,0.502978960377468,0.712630725139242,0.93238747862307
"ENG",2.73e-06,3.02e-06,2.34e-05,1.2e-05,0,0,0,0,0.502968253209223,0.712681555183042,0.932390210145266
"KPNA5",2.86e-06,2.35e-06,1.27e-05,4.49e-06,0,0,0,0,0.502946692208055,0.712737251933164,0.932392941355395
"G3BP1",3.12e-06,1.03e-06,1.34e-05,4.66e-06,0,0,0,0,0.502929026970391,0.712789163467258,0.932395672236062
"LCMT2",2.69e-06,3.23e-06,2.78e-05,1.32e-05,0,0,1,0,0.502927630287659,0.712840534256205,0.93239840271442
"CSNK1D",2.26e-06,5.51e-06,1.87e-05,8.14e-06,0,0,0,0,0.502921879256159,0.712889742064565,0.932401132810076
"GIPR",2.57e-06,3.86e-06,2.23e-05,9.88e-06,0,0,0,0,0.502888367054762,0.712938949872925,0.932403862647533
"SLC3A2",2.27e-06,5.46e-06,2.15e-05,1.12e-05,0,0,1,0,0.502846239961517,0.712989239171578,0.932406592265459
"MTF2",2.9e-06,2.15e-06,1.55e-05,5.24e-06,0,0,2,0,0.502845665209751,0.713041691450819,0.932409321477702
"MDM2",2.67e-06,3.34e-06,1.16e-05,4.56e-06,0,0,1,1,0.502814056959029,0.713091440004326,0.932412050423407
"LMAN1",3.03e-06,1.49e-06,1.56e-05,6.84e-06,0,0,0,0,0.502808889623104,0.713140647812686,0.932414778984167
"AC004381.6",2.84e-06,2.46e-06,1.97e-05,8.27e-06,0,0,0,0,0.502802746937093,0.713191477856486,0.932417507164438
"SLC30A6",3.14e-06,9.36e-07,1.17e-05,4.31e-06,0,0,0,0,0.502797766150987,0.713245011626021,0.9324202349591
"GPR107",2.57e-06,3.87e-06,1.57e-05,7.21e-06,0,0,0,0,0.502692928534767,0.713345590223328,0.932422962815549
"DCAF4",2.76e-06,2.88e-06,1.86e-05,8.32e-06,0,0,0,0,0.502661072520008,0.713446709565782,0.932425690406875
"PHKG2",2.55e-06,3.98e-06,1.62e-05,6.37e-06,0,0,0,0,0.502601097929444,0.713498621099876,0.932428417859078
"UBP1",2.78e-06,2.78e-06,1.6e-05,7.13e-06,0,0,0,0,0.502592106820671,0.713549451143676,0.932431144943858
"DNAJC3",2.98e-06,1.76e-06,1.33e-05,5.68e-06,0,0,0,0,0.502481393734053,0.713652733466717,0.932433872116836
"EBF2",2.82e-06,2.58e-06,1.9e-05,9.25e-06,0,0,0,0,0.502463795051459,0.713754393554318,0.932436598961032
"MCMDC2",2.82e-06,2.58e-06,1.65e-05,6.35e-06,0,0,0,0,0.502463795051459,0.713754393554318,0.93243932539772
"YBX2",3.09e-06,1.21e-06,1.73e-05,7.91e-06,0,0,0,0,0.502340767942922,0.713806845833559,0.932442051977825
"DBF4",3.12e-06,1.06e-06,1.45e-05,5.84e-06,0,0,0,0,0.502319630628509,0.713858757367653,0.932444778245155
"PNKP",2.53e-06,4.1e-06,2.21e-05,1.13e-05,0,0,0,0,0.50231829103164,0.713907424430866,0.93244750411115
"AJUBA",3.22e-06,5.6e-07,2.38e-05,1.21e-05,0,0,0,0,0.502302829051607,0.713958254474666,0.932450229639119
"RIPK2",2.58e-06,3.84e-06,1.43e-05,5.73e-06,0,0,0,0,0.502251675786544,0.71401016600876,0.932452954988894
"GK5",3.05e-06,1.42e-06,1.45e-05,5.74e-06,0,0,0,0,0.502178502055015,0.714062077542854,0.932455680259075
"ARHGEF16",2.65e-06,3.48e-06,2.7e-05,1.24e-05,0,0,1,0,0.502115155325244,0.714113448331801,0.932458405405703
"PRICKLE3",2.78e-06,2.81e-06,2.98e-05,1.13e-05,0,0,0,0,0.501997710025402,0.714164819120748,0.93246113067091
"SRSF6",3.06e-06,1.38e-06,1.62e-05,5.91e-06,0,0,1,1,0.501965240286815,0.714214026929108,0.932463855674417
"FBXO7",2.65e-06,3.49e-06,1.66e-05,7.05e-06,0,0,0,0,0.50191900051045,0.714264856972909,0.932466580477899
"GPR124",2.57e-06,3.91e-06,3.71e-05,2e-05,0,0,1,0,0.501912200102937,0.714315146271562,0.932469304904939
"AP2M1",2.83e-06,2.56e-06,1.67e-05,6.64e-06,0,0,0,1,0.501837464819257,0.714365976315363,0.932472029259558
"BACH2",2.62e-06,3.66e-06,2.83e-05,1.4e-05,0,0,0,0,0.501665530421601,0.71441734710431,0.932474753976618
"FRMD6",3.05e-06,1.45e-06,1.96e-05,7.6e-06,0,0,0,1,0.501573312393782,0.714467636402963,0.932477478699444
"OIT3",2.61e-06,3.72e-06,1.88e-05,8.23e-06,0,0,0,0,0.501517904905314,0.714517925701617,0.93248020326338
"ZNF805",2.76e-06,2.94e-06,1.74e-05,6.71e-06,0,0,0,0,0.501474696207164,0.714568755745417,0.932482927613899
"ZNF202",3.03e-06,1.56e-06,1.96e-05,8.35e-06,0,0,0,0,0.501397909052152,0.714617963553777,0.932485651901233
"FAM126B",2.85e-06,2.48e-06,1.44e-05,4.79e-06,0,0,0,0,0.501381503778226,0.714670415833018,0.932488375855354
"FUT10",2.81e-06,2.71e-06,1.32e-05,5.62e-06,0,0,0,0,0.500908754866221,0.714828313415887,0.932491101517122
"MEFV",2.84e-06,2.56e-06,2.83e-05,1.38e-05,0,0,0,0,0.500815549491138,0.714879143459687,0.932493827188967
"FAM71E2",3.16e-06,9.34e-07,3.2e-05,1.7e-05,0,0,0,0,0.500799910860979,0.714931595738928,0.932496552524045
"HNRNPLL",3.03e-06,1.59e-06,1.76e-05,7.24e-06,0,0,0,0,0.50079483508458,0.714980803547288,0.932499277475204
"RMDN3",3.05e-06,1.49e-06,1.63e-05,6.77e-06,0,0,1,0,0.50076791928916,0.715031092845942,0.932502002140173
"ZNF750",2.78e-06,2.88e-06,2.42e-05,1.39e-05,0,0,0,0,0.50061446776354,0.715080841399448,0.93250472708471
"PIAS2",2.92e-06,2.16e-06,1.73e-05,6.99e-06,0,0,0,0,0.500602290450049,0.715132752933542,0.932507451677218
"AKAP4",2.79e-06,2.83e-06,2.13e-05,8.7e-06,0,0,1,0,0.500579958115363,0.715182501487049,0.932510175963169
"ZNF667",3.06e-06,1.45e-06,1.6e-05,5.68e-06,0,0,0,0,0.500554472416931,0.71523495376629,0.932512899956726
"INPP5E",2.57e-06,3.98e-06,2.95e-05,1.6e-05,0,0,0,0,0.500549863908115,0.71528578381009,0.932515623564648
"RECQL",2.77e-06,2.94e-06,1.67e-05,6.74e-06,0,0,0,0,0.500452709876909,0.715335532363597,0.93251834720061
"LRRC71",3.03e-06,1.61e-06,2.21e-05,1.11e-05,0,0,0,0,0.500393328326992,0.715389066133131,0.932521070695816
"PTH1R",2.62e-06,3.73e-06,2.18e-05,1.06e-05,0,0,0,0,0.500299210663738,0.715439355431785,0.932523794205516
"QSOX1",2.99e-06,1.82e-06,1.88e-05,8.03e-06,0,0,0,0,0.500257921082931,0.715490726220732,0.932526517493666
"CRLF3",3.04e-06,1.57e-06,1.31e-05,5.3e-06,0,0,0,0,0.500178470657104,0.715541556264533,0.932529240730814
"DNAAF1",3.05e-06,1.52e-06,2.18e-05,1.08e-05,0,0,1,0,0.50016501676016,0.715591304818039,0.93253196362213
"ZUFSP",2.98e-06,1.88e-06,1.34e-05,5.11e-06,0,0,0,0,0.500076421418665,0.715691883415346,0.932534686503367
"MASP2",2.68e-06,3.43e-06,2.21e-05,1.06e-05,0,0,0,0,0.50002439406159,0.715742172714,0.932537409211185
"TXNDC5",2.78e-06,2.91e-06,1.82e-05,1.03e-05,0,0,1,0,0.500023223867568,0.715794084248094,0.932540131518461
"F9",2.73e-06,3.17e-06,1.21e-05,4.53e-06,0,0,0,0,0.500013254581781,0.715844914291894,0.932542853464584
"CDH19",2.69e-06,3.38e-06,1.98e-05,7.78e-06,0,0,0,0,0.499981351935974,0.715944411398908,0.932545575147589
